"search_timestamp","org_list__auth_type","org_list__address","org_list__domain_ip_cnt","org_list__np_time_list__np_time","org_list__corp_regno","org_list__org_type","org_list__relay_org_code","org_list__industry","org_list__np_time_cnt","org_list__ip_list__ip","org_list__cert_oid","org_list__cert_issuer_dn","org_list__serial_num","org_list__ip_cnt","org_list__domain_ip_list__domain_ip","org_list__domain","org_list__op_type","org_list__is_rcv_org","org_list__org_name","org_list__org_regno","org_list__org_code","rsp_code","org_cnt","rsp_msg"
"","01","(13591) 경기도 성남시 분당구 황새울로 358 (서현동, 상상인저축은행) 상상인저축은행","","0100:0400","1156110000130","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","상상인저축은행","128-81-00520","A3AALD0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(10929) 경기도 파주시 금정20길 22 (금촌동, 안국저축은행) 안국저축은행","","0100:0400","1156110001344","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","안국저축은행","128-81-03041","A3AALE0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(13591) 경기도 성남시 분당구 황새울로 324 (서현동, 송강빌딩) 2,3,5,6층","","0100:0400","1311110177442","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","제이티저축은행","129-86-05071","A3AALF0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(14637) 경기도 부천시 부일로 472 (심곡동)","","1000:1600","1243130000115","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","영진저축은행","130-81-04645","A3AALG0000","","",""
"","01","(14580) 경기도 부천시 신흥로 179 (중동) 한화저축은행","","0100:0400","1211110059436","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","한화저축은행","130-81-54878","A3AALH0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(22144) 인천광역시 미추홀구 경인로 473 (주안동, 강원빌딩) 인천저축은행","","0100:0400","1201110000373","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","인천저축은행","131-81-06684","A3AALI0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(22149) 인천광역시 미추홀구 경인로 406 (주안동, 모아저축은행) (주)모아저축은행","","0100:0400","1201110000331","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","모아저축은행","131-81-06971","A3AALK0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(22139) 인천광역시 미추홀구 경인로 339 (주안동, 인성상호저축은행) 4층","","0100:0400","1201110003070","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","인성저축은행","131-81-11571","A3AALL0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(11928) 경기도 구리시 검배로 10 (수택동, 남양저축은행)","","0100:0400","1152110001855","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","남양저축은행","132-81-00010","A3AALM0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(14235) 경기도 광명시 철산로 5 (철산동, 융창빌딩) 1,2층","","0100:0400","1349110000412","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","(주)융창저축은행","133-81-03854","A3AALN0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(06043) 서울특별시 강남구 강남대로 574 (논현동, 전기공사공제조합회관) 3층","","0100:0400","1101110129612","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","조은저축은행","201-81-14182","A3AALP0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(04624) 서울특별시 중구 퇴계로 234 (충무로5가, 민국상호저축은행지암빌딩) 5층","","0100:0400","1101110129894","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","민국저축은행","201-81-47290","A3AALQ0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(06162) 서울특별시 강남구 선릉로 514 (삼성동, 성원타워) 애큐온 저축은행","","0100:0400","1101110126014","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","애큐온저축은행","211-81-38105","A3AALT0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(06044) 서울특별시 강남구 학동로 103 (논현동, 스카이저축은행) 스카이빌딩 3,4층","","0100:0400","1101110138374","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","스카이저축은행","211-81-88264","A3AALU0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
"","01","(04538) 서울특별시 중구 삼일대로 343 (저동1가, 대신파이낸스센터(DaishinFinanceCenter)) 17층 대신저축은행","","2100:2300","1101114663426","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","대신저축은행","211-88-64825","A3AALW0000","","",""
"","","","","0200:0600","","","","","","","","","","","","","","","","","","","",""
"","01","(04513) 서울특별시 중구 세종대로 39 (남대문로4가, 대한서울상공회의소) 10층","","0100:0400","1101115062289","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","(주)오케이저축은행","211-88-90264","A3AALX0000","","",""
"","","","","2000:2300","","","","","","","","","","","","","","","","","","","",""
